date,premise_code,item_code,price
2/02/2024,17982,18,7
2/02/2024,18043,18,6.99
2/02/2024,18063,18,6.99
2/02/2024,18094,18,6.99
2/02/2024,18098,18,8.9
2/02/2024,18116,18,6.99
2/02/2024,18132,18,7.39
2/02/2024,18135,18,2.99
2/02/2024,18144,18,5.99
2/02/2024,18161,18,6.99
2/02/2024,18162,18,5.8
2/02/2024,18164,18,7.49
2/02/2024,18170,18,5
2/02/2024,18184,18,7.49
2/02/2024,18185,18,6.99
2/02/2024,18192,18,7.99
2/02/2024,18198,18,7.99
2/02/2024,18201,18,6.99
2/02/2024,18203,18,6.5
2/02/2024,18204,18,6.99
2/02/2024,18316,18,6.99
2/02/2024,18319,18,6.99
2/02/2024,18337,18,7.99
2/02/2024,18340,18,5.9
2/02/2024,18349,18,7.39
2/02/2024,18350,18,7.49
2/02/2024,18353,18,7.49
2/02/2024,18410,18,7.5
2/02/2024,18457,18,5.5
2/02/2024,18471,18,6.99
2/02/2024,18475,18,6.99
2/02/2024,18476,18,7
2/02/2024,18477,18,6.99
2/02/2024,18478,18,6.99
2/02/2024,18480,18,7.49
2/02/2024,18492,18,6.99
2/02/2024,18539,18,5
2/02/2024,18541,18,7.2
2/02/2024,18556,18,6.5
2/02/2024,18578,18,5.99
2/02/2024,18670,18,6.99
2/02/2024,18712,18,6.99
2/02/2024,18716,18,6.8
2/02/2024,20690,18,7.2
2/02/2024,20702,18,6.5
2/02/2024,20704,18,6.99
2/02/2024,20717,18,7.99
2/02/2024,20722,18,8
2/02/2024,20723,18,7.5
2/02/2024,20731,18,7.99
2/02/2024,20735,18,7.99
2/02/2024,20736,18,6.3
2/02/2024,20739,18,6.99
2/02/2024,20741,18,6.99
2/02/2024,20742,18,6.99
2/02/2024,20743,18,6.99
2/02/2024,20748,18,7.99
2/02/2024,20749,18,6.99
2/02/2024,20750,18,7.59
2/02/2024,20757,18,6.99
2/02/2024,20759,18,6.99
2/02/2024,20760,18,6.99
2/02/2024,20761,18,5.99
2/02/2024,20767,18,6.99
2/02/2024,20768,18,6.99
2/02/2024,20769,18,6.99
2/02/2024,20773,18,6.99
2/02/2024,20774,18,5.99
2/02/2024,20776,18,6.99
2/02/2024,20777,18,7.49
2/02/2024,20785,18,7.5
2/02/2024,20786,18,7.99
2/02/2024,20788,18,6.99
2/02/2024,20791,18,7.39
2/02/2024,20792,18,5.99
2/02/2024,20802,18,6.9
2/02/2024,20803,18,6.99
2/02/2024,20804,18,6.99
2/02/2024,20805,18,6
2/02/2024,20806,18,7
2/02/2024,20807,18,5.99
2/02/2024,20808,18,6.99
2/02/2024,20812,18,6.5
2/02/2024,20814,18,5.49
2/02/2024,20828,18,8
2/02/2024,20830,18,8.1
2/02/2024,20831,18,7.69
2/02/2024,20853,18,7
2/02/2024,20857,18,6.9
2/02/2024,20860,18,6.99
2/02/2024,20861,18,7.5
2/02/2024,20876,18,6.99
2/02/2024,20877,18,8.5
2/02/2024,20883,18,8.3
2/02/2024,20895,18,6.49
2/02/2024,20902,18,8.3
2/02/2024,20903,18,5.99
3/02/2024,2,18,6
3/02/2024,3,18,10.5
3/02/2024,176,18,6.99
3/02/2024,183,18,6.58
3/02/2024,234,18,4
3/02/2024,239,18,6.5
3/02/2024,322,18,5.8
3/02/2024,330,18,6.99
3/02/2024,342,18,7
3/02/2024,351,18,6.99
3/02/2024,354,18,6
3/02/2024,364,18,4
3/02/2024,368,18,6.5
3/02/2024,380,18,8.9
3/02/2024,382,18,6.5
3/02/2024,424,18,7
3/02/2024,429,18,8.9
3/02/2024,431,18,7
3/02/2024,434,18,6
3/02/2024,435,18,8.9
3/02/2024,439,18,5.99
3/02/2024,506,18,6.99
3/02/2024,524,18,7
3/02/2024,529,18,6
3/02/2024,569,18,6.9
3/02/2024,585,18,5
3/02/2024,588,18,6.99
3/02/2024,589,18,6
3/02/2024,591,18,4.88
3/02/2024,600,18,6
3/02/2024,633,18,7
3/02/2024,660,18,6.5
3/02/2024,725,18,6.9
3/02/2024,729,18,7.9
3/02/2024,766,18,6
3/02/2024,777,18,7
3/02/2024,864,18,7.3
3/02/2024,907,18,6.29
3/02/2024,930,18,7.29
3/02/2024,1053,18,6
3/02/2024,1054,18,6.49
3/02/2024,1133,18,6
3/02/2024,1135,18,5.99
3/02/2024,1164,18,6
3/02/2024,1170,18,6
3/02/2024,1212,18,6.5
3/02/2024,1259,18,6.99
3/02/2024,1267,18,6
3/02/2024,1284,18,7
3/02/2024,1361,18,6.99
3/02/2024,1407,18,6.8
3/02/2024,1517,18,6
3/02/2024,1652,18,5
3/02/2024,1713,18,6
